TVD,Northing,Easting
5405.92 ,41.63 ,-50.85 
5416.92 ,41.80 ,-51.05 
5447.80 ,42.40 ,-53.45 
5478.22 ,43.54 ,-59.22 
5508.73 ,45.76 ,-68.56 
5537.99 ,49.18 ,-81.01 
5564.83 ,53.43 ,-95.89 
5590.70 ,58.44 ,-114.04 
5613.72 ,63.69 ,-134.10 
5635.04 ,69.38 ,-157.25 
5653.42 ,75.21 ,-182.77 
5668.40 ,81.76 ,-209.09 
5681.15 ,90.08 ,-236.08 
5692.80 ,100.20 ,-264.11 
5702.98 ,111.02 ,-291.32 
5712.12 ,122.59 ,-318.58 
5720.42 ,134.73 ,-345.87 
5727.81 ,147.48 ,-373.14 
5733.90 ,160.40 ,-399.52 
5739.38 ,175.02 ,-427.45 
5743.81 ,189.61 ,-453.29 
5747.93 ,205.54 ,-479.55 
5751.68 ,222.39 ,-505.30 
5755.03 ,240.82 ,-531.24 
5757.68 ,259.68 ,-555.70 
5759.88 ,280.05 ,-580.28 
5761.61 ,300.64 ,-603.39 
5763.21 ,322.40 ,-626.79 
5764.66 ,343.45 ,-649.51 
5766.18 ,364.69 ,-672.04 
5767.95 ,386.94 ,-694.97 
5769.68 ,408.12 ,-716.14 
5771.56 ,429.95 ,-736.63 
5773.69 ,453.92 ,-757.71 
5775.80 ,478.24 ,-778.41 
5777.65 ,501.32 ,-797.48 
5779.54 ,526.25 ,-817.45 
5781.28 ,551.57 ,-836.95 
5782.81 ,576.77 ,-854.92 
5784.49 ,603.51 ,-872.42 
5786.29 ,630.08 ,-888.28 
5788.25 ,657.95 ,-903.88 
5792.07 ,712.06 ,-933.91 
5797.96 ,793.87 ,-979.82 
5803.88 ,876.42 ,-1026.47 
5809.18 ,958.43 ,-1072.09 
5814.62 ,1040.54 ,-1117.54 
5821.35 ,1122.88 ,-1164.43 
5827.44 ,1204.40 ,-1210.82 
5832.97 ,1286.22 ,-1256.77 
5838.38 ,1368.77 ,-1303.48 
5843.62 ,1448.51 ,-1349.06 
5848.49 ,1529.20 ,-1395.03 
5853.14 ,1609.88 ,-1441.06 
5856.88 ,1691.45 ,-1487.60 
5856.37 ,1772.51 ,-1533.17 
5851.68 ,1854.68 ,-1578.57 
5843.49 ,1937.13 ,-1622.95 
5834.00 ,2020.34 ,-1667.80 
5824.77 ,2102.51 ,-1712.49 
5815.28 ,2184.50 ,-1757.48 
5807.51 ,2266.74 ,-1802.34 
5800.03 ,2350.15 ,-1847.18 
5791.10 ,2431.55 ,-1891.26 
5780.98 ,2514.44 ,-1936.55 
5771.52 ,2597.32 ,-1982.00 
5763.79 ,2678.46 ,-2026.79 
5755.82 ,2758.41 ,-2071.61 
5746.18 ,2839.67 ,-2117.86 
5737.39 ,2921.33 ,-2163.57 
5732.54 ,3004.55 ,-2209.12 
5729.71 ,3086.06 ,-2253.80 
5728.31 ,3168.41 ,-2299.10 
5728.58 ,3248.87 ,-2343.69 
5728.45 ,3330.72 ,-2389.93 
5727.85 ,3411.43 ,-2436.12 
5727.18 ,3492.96 ,-2482.91 
5726.48 ,3574.19 ,-2530.21 
5725.31 ,3655.15 ,-2577.96 
5723.80 ,3735.52 ,-2626.67 
5722.71 ,3816.06 ,-2677.04 
5721.73 ,3896.03 ,-2728.31 
5720.56 ,3974.48 ,-2780.09 
5720.05 ,4026.86 ,-2815.09 
5719.79 ,4073.40 ,-2846.24 
