TVD,Northing,Easting
0,0,0
77.9991981,0.285978301,-0.109719521
177.9967729,0.866870562,-0.480145266
277.9956603,1.195992476,-0.803789238
377.9955154,1.32187389,-0.87392273
477.995366,1.462728429,-0.921936839
577.995249,1.558977741,-0.96585311
677.9951709,1.637161671,-0.987326892
777.9949414,1.758488555,-1.149692235
877.9948672,1.724953849,-1.20780485
977.9948072,1.685829217,-1.109420993
1077.994661,1.733872718,-0.952024762
1177.994052,1.990673221,-0.736756272
1277.993006,2.436103738,-0.672330666
1377.991721,2.869511402,-0.915754751
1477.989691,3.282316646,-1.399505934
1577.987135,3.68335999,-1.990799239
1677.984252,4.079692822,-2.638325173
1777.97987,4.505253868,-3.466892632
1877.969701,5.02043985,-4.78251942
1977.95088,5.722795517,-6.587422154
2077.930275,6.629454787,-8.400576044
2177.909432,7.606327112,-10.19153758
2294.890223,8.760539291,-11.94640241
2324.887671,9.030718343,-12.22774246
2419.883732,9.561342898,-12.89805673
2514.881701,9.826026881,-13.45905361
2610.879976,10.09140458,-13.96831058
2705.878558,10.32077114,-14.43117013
2799.877095,10.52378985,-14.91300501
2894.875272,10.80432335,-15.43037774
2990.873219,11.0807971,-15.99357891
3123.870027,10.55367187,-15.8799501
3180.862652,9.895109094,-15.25090632
3275.856044,9.266582181,-14.43572715
3371.83861,8.403484079,-13.02894958
3466.79962,7.133245093,-10.63216118
3562.768043,6.167580552,-8.367834574
3657.740161,5.343074248,-6.221854468
3752.716023,4.545221596,-4.238071062
3844.696022,3.743138089,-2.497334642
3938.676076,3.009769471,-0.705877043
4034.652964,2.041835339,1.162027097
4129.633647,1.232776634,2.887583144
4224.616803,0.972576171,4.651228798
4320.601272,0.843419682,6.368710524
4415.591195,0.747366494,7.745041321
4510.572246,-0.534033828,8.922067009
4605.529657,-3.035998386,10.26716463
4700.48941,-5.242752452,11.92825301
4795.469836,-6.470724232,13.33324893
4891.463846,-6.832819413,14.34020448
4986.459989,-7.051575312,15.165466
5081.457791,-7.039580159,15.80008986
5156.456052,-6.72380924,16.19059189
5241.44046,-5.236212311,16.55819899
5274.412171,-4.030081028,17.12810728
5306.258388,-2.587189353,19.74328348
5336.643495,-1.109015061,25.61663618
5367.085224,0.666310139,35.25961726
5396.159141,2.697593886,48.42567291
5422.595164,4.5530144,64.47350343
5447.737853,6.046603076,84.18146017
5468.45004,6.853728354,104.444835
5491.206038,7.409859852,132.3060505
5508.736571,8.023095832,159.0575653
5524.191521,8.73561877,185.9196514
5538.975566,9.370791574,214.2881214
5551.782808,9.775431414,242.5117084
5563.559251,10.10301282,272.261344
5573.799593,10.61194012,301.5148009
5575.757483,10.66720824,307.1857515
5584.278933,10.07988173,331.740077
5593.278665,7.940021686,361.3201337
5600.765477,4.081659162,392.1830366
5606.70731,-0.848937329,422.2044243
5612.420737,-6.389440577,453.1989177
5618.062197,-12.05908318,483.14877
5623.781023,-18.44049635,512.9398046
5629.357884,-26.1810928,543.4814139
5634.165222,-35.0124744,572.8021793
5638.273602,-45.05409859,601.8389773
5641.749285,-56.54449381,631.4991583
5644.130578,-68.90287485,659.8240741
5645.571063,-82.72265039,688.6483022
5646.328468,-96.66646153,716.3242297
5646.874903,-110.7981926,743.9103643
5649.638923,-154.1242306,827.2814137
5651.705819,-198.3283544,910.2073876
5652.025739,-243.1664782,992.8233199
5652.673777,-288.6870051,1075.062984
5654.39808,-334.4598869,1158.288953
5657.48185,-379.3458115,1240.821194
5659.967011,-424.2391858,1323.367186
5662.155423,-469.3013135,1406.969159
5662.901488,-513.4028754,1491.09549
5662.024757,-527.9174303,1519.600319
5658.821013,-556.5833882,1575.606839
5657.228344,-570.6330916,1603.19311
5654.727503,-598.7164453,1659.531893
5650.258548,-640.1634544,1743.781733
5646.715686,-682.330681,1827.711747
5646.945349,-725.4395023,1911.233558
5647.500758,-769.0884232,1995.602956
5645.843827,-812.5732012,2078.923317
5643.612203,-855.6328444,2161.323808
5642.644307,-898.8726223,2244.777493
5643.150014,-942.3183919,2329.259411
5643.655721,-985.8157428,2413.71474
5644.205322,-1028.964492,2497.224487
5646.321428,-1071.736169,2580.897401
5648.347554,-1112.610744,2665.508697
5648.629437,-1151.27238,2752.283007
5649.234785,-1186.431448,2840.521597
5651.211814,-1220.558287,2928.076254
5655.165675,-1259.086679,3013.708736
5659.947189,-1300.976472,3098.839972
5663.711358,-1343.163378,3182.755445
5666.405345,-1386.230764,3267.389465
5668.270535,-1429.358689,3352.014521
5670.854136,-1472.664647,3435.400397
5674.293855,-1517.220386,3519.232771
5676.150726,-1561.861829,3603.06759
5676.573536,-1606.943161,3686.68777
5676.067832,-1652.59979,3769.994996
5674.210939,-1698.233651,3853.295152
5670.717294,-1743.529451,3935.585998
5667.095305,-1789.007422,4018.912383
5663.691811,-1833.542127,4101.622331
5661.826771,-1878.260606,4185.408182
5661.917004,-1922.455939,4268.370257
5663.374577,-1967.761705,4352.989162
5666.764647,-2013.062369,4436.422779
5670.856664,-2058.598242,4518.554827
5675.270019,-2104.130074,4599.525927
