TVD,Northing,Easting
0,0,0
141.9997917,0.14875176,-0.149167715
236.9990514,0.447199489,-0.36858717
330.9976628,0.940859985,-0.423589732
425.9953485,1.506698683,-0.097839197
578.993359,2.125356031,0.261803262
768.9915856,2.649782392,-0.318893765
959.9893704,3.393131817,-0.717114195
1149.984876,4.672899777,-0.572192836
1340.973853,6.67054895,-0.184168082
1530.964711,8.309037813,-0.630484141
1720.959166,9.351731778,-1.565417902
1910.952544,10.79673507,-2.165809178
2100.933035,12.08218285,-4.421960771
2290.92032,12.56912481,-6.320778917
2480.917522,13.46119496,-6.125324434
2669.906726,15.44714206,-5.948201602
2859.900216,16.92139143,-5.901982167
3049.896219,18.03571354,-6.155790025
3239.891598,19.00815014,-6.964898449
3429.889687,19.68210879,-7.390629005
3619.887423,20.5911198,-7.546849573
3810.881225,21.81308898,-8.376452016
4000.862432,24.05394763,-9.794667496
4190.844773,26.3080254,-11.02501883
4380.833465,28.06060667,-12.13091794
4569.815831,29.78419756,-14.00845034
4760.800447,31.6271239,-13.90607784
4855.791946,31.93142244,-12.74869984
4950.785247,31.56969405,-11.68394757
5140.759219,31.53793947,-8.583801717
5235.750767,31.09871338,-7.603720736
5274.74692,30.64833685,-7.864979239
5414.680927,28.98834767,-11.68482482
5495.647843,28.36920665,-13.79837417
5591.64566,28.51294794,-14.23749635
5686.642958,29.1769273,-13.98468865
5781.634718,30.30742165,-13.49710784
5876.621763,31.83054298,-13.39447091
5972.617953,32.2288,-13.55528328
6067.614318,31.52041405,-13.14343823
6162.611202,31.2711473,-12.44487524
6257.60873,31.5283113,-11.82240446
6353.604781,32.02454406,-11.12019533
6449.597881,32.49421551,-10.0732534
6512.595615,32.6851655,-9.605718086
6544.587086,33.08830102,-10.09254034
6576.495165,34.34294377,-12.07390898
6608.175421,36.69936831,-15.87143628
6639.493794,40.17565424,-21.41426845
6669.363352,44.60410724,-28.4046802
6699.560955,50.24975621,-37.33952505
6728.050876,56.6741799,-47.7165521
6756.5684,64.30139628,-60.05459211
6784.215359,72.90443974,-73.67135263
6811.102552,82.22304387,-88.30349994
6836.568227,91.67185894,-103.2421091
6862.256893,101.8565328,-119.3742449
6887.109131,112.6182258,-136.4141137
6910.276554,123.6618926,-153.7968767
6933.182217,135.6667057,-172.6384182
6954.84771,148.1102581,-192.6249089
6975.041409,160.8610933,-213.9151385
6993.821672,173.8943935,-236.3033692
7010.785436,186.8561743,-258.7764004
7027.066359,200.6860984,-282.5988565
7042.013743,215.0586112,-306.9660826
7055.58201,229.903459,-331.85328
7067.306176,244.7882605,-356.3831921
7094.009883,289.7818597,-429.5499242
7097.571859,296.8086489,-441.1224051
7106.542225,312.6399901,-467.4443361
7134.753845,358.7630464,-545.5563789
7163.106246,403.5470586,-623.1871012
7192.573461,447.9383401,-701.836287
7221.448412,492.5339422,-780.5860952
7248.771803,538.6237607,-859.0337645
7277.408727,584.8811791,-936.9077185
7305.427427,629.691319,-1013.42665
7333.25817,674.8189727,-1092.253546
7363.196606,718.8723254,-1170.912525
7393.285542,763.3892105,-1249.251828
7422.886274,808.4837739,-1327.450462
7443.361102,837.5508424,-1379.457545
7462.619587,867.2639984,-1431.553083
7478.902844,898.7809701,-1483.608349
7492.440848,931.1648385,-1535.918712
7503.581287,964.8121747,-1589.202329
7511.727239,998.5211229,-1641.790266
7516.45023,1032.372519,-1694.702005
7518.404622,1066.685694,-1748.687709
7518.510736,1100.627727,-1802.943096
7518.527142,1149.902117,-1882.990508
7519.700148,1198.83117,-1963.243624
7519.568893,1248.855324,-2042.819221
7518.101545,1300.122827,-2122.783971
7516.957512,1350.861503,-2203.091161
7516.21139,1401.427011,-2283.512285
7514.283841,1451.795959,-2362.85075
7510.910386,1503.413579,-2442.532696
7508.056112,1554.019711,-2521.694043
7505.802745,1604.792625,-2603.13735
7503.340799,1654.928063,-2683.793097
7500.398208,1705.295339,-2764.288151
7497.314732,1755.428127,-2844.923947
7494.347276,1804.977603,-2925.924078
7491.43783,1854.351241,-3007.033745
7488.501617,1903.267244,-3087.249708
7486.023076,1952.214012,-3168.63054
7483.231652,2000.26318,-3248.20447
7479.024907,2049.565957,-3328.126093
7474.034098,2100.340802,-3409.446074
7468.72271,2151.401725,-3489.380086
7463.676301,2202.965033,-3569.008623
7458.77888,2254.226447,-3648.841063
7454.991295,2304.722955,-3729.215319
7453.162137,2354.023797,-3809.227532
7452.22534,2403.198142,-3890.504077
7450.932021,2453.033603,-3971.368334
7449.045435,2503.085949,-4050.911688
7447.636128,2552.957586,-4131.755453
7446.72419,2601.833696,-4213.211641
7444.845753,2650.593056,-4293.549294
7441.314914,2700.886256,-4374.066506
7436.964001,2750.823957,-4454.764838
7432.182481,2800.04479,-4535.878183
7426.970449,2848.451739,-4617.453271
7421.559431,2895.911781,-4698.411689
