TVD,Northing,Easting
0,0,0
200,-0.32,0.3
400,-1.47,0.34
599.99,-2.51,-0.3
799.99,-3,-1.02
999.98,-4.49,-0.88
1199.97,-6,0.42
1399.96,-6.97,1.78
1599.96,-8.2,1.63
1799.96,-8.45,0.61
1999.95,-8.61,1.03
2199.95,-10.33,1.41
2399.94,-12.01,1.15
2599.93,-13.74,1.26
2799.92,-15.12,2.13
2999.91,-15.2,4.31
3199.9,-15.93,6.12
3399.89,-17.37,7.11
3599.88,-19.29,8.1
3799.87,-20.44,9.47
3999.86,-20.34,11.64
4199.85,-19.52,13.32
4399.84,-17.97,14.75
4599.82,-16.45,16.24
4799.82,-15.26,16.57
4999.82,-13.99,16.25
5199.81,-12.4,15.58
5399.8,-10.44,14.63
5599.78,-7.93,14.26
5799.77,-5.78,14.58
5999.76,-3.61,14.79
6199.73,-0.57,14.61
6399.7,2.84,14.89
6599.67,6.25,15.51
6799.64,9.72,15.9
6999.59,13.83,17.24
7199.55,17.9,17.9
7399.54,19.23,18.26
7599.53,17.56,18.89
7799.51,14.97,18.53
7999.49,12.1,17.58
8199.43,7.46,16.77
8399.38,2.96,17.68
8599.34,-0.08,20.15
8775.3,-2.09,21.91
8810.3,-2.28,21.98
8855.3,-2.66,22.18
8887.26,-3.65,23.23
8919.06,-5.97,25.87
8950.5,-10.12,30.08
8987.09,-17.84,36.76
9013.35,-25.51,42.69
9038.04,-34.36,49.1
9066.41,-46.4,57.67
9093.72,-59.88,67.48
9119.89,-74.75,78.34
9146.95,-92.59,91.5
9167.16,-107.94,103.33
9206.89,-139.98,128.7
