TVD,Northing,Easting
5631.75,9.13,-31.03
5654.739708,9.743052358,-31.3155061
5686.552032,12.15021531,-33.48946936
5715.774872,16.39474348,-38.67480772
5745.897798,22.67005011,-47.39850363
5773.654054,30.56732701,-58.67053892
5800.400276,40.30176304,-73.25232158
5824.833915,51.30080786,-90.70877167
5846.453659,63.69674542,-110.7449996
5864.183627,77.20504461,-132.2558202
5878.379851,91.38989536,-154.5389627
5891.185403,106.4738373,-178.4007025
5903.033132,121.6745302,-202.680203
5914.396298,137.3701496,-228.1449197
5923.944301,152.0148371,-252.5204754
5932.734562,167.6784977,-279.001403
5940.217794,183.4561989,-305.8137361
5946.007368,198.9596921,-332.0224742
5950.634847,215.1768428,-359.2161795
5953.819922,230.5685824,-384.766046
5955.820328,246.8256107,-411.0827679
5956.795064,261.8235021,-434.706448
5958.821058,312.5182573,-513.8386451
5959.296827,363.6842109,-592.6874631
5959.272215,414.0280107,-672.0625291
5959.780834,461.8544228,-752.9809511
5960.149978,509.1941424,-834.1882801
5960.979001,557.3439078,-916.0773383
5961.857771,605.6575799,-997.8689731
5961.964422,655.3836426,-1077.633038
5961.371969,705.5905597,-1155.913445
5959.592029,755.5460288,-1235.518257
5956.216613,804.1957156,-1314.705318
5951.195459,852.197163,-1394.199479
5946.038167,901.4181147,-1474.112118
5942.366442,951.5953564,-1554.69421
5939.42045,999.2154281,-1633.355266
5935.748749,1047.509274,-1715.080563
5931.586403,1095.621674,-1794.554846
5926.854606,1145.838073,-1875.058395
5923.266912,1194.565121,-1953.007334
5920.987282,1244.836566,-2033.583561
5920.136306,1293.039121,-2111.93575
5920.841768,1341.696968,-2192.358573
5920.899192,1390.894049,-2272.452513
5920.53441,1440.862079,-2353.247233
5920.073821,1487.974596,-2431.10056
5919.876917,1538.372159,-2510.437812
5920.467542,1589.985708,-2588.996983
5922.139276,1640.750254,-2666.899466
5925.251645,1690.309683,-2743.155866
5927.367763,1741.510878,-2821.953327
5927.226828,1793.466433,-2901.485995
5926.083318,1842.824494,-2977.9281
5924.163931,1893.209171,-3057.26037
5922.268958,1944.673751,-3135.89127
5920.163403,1998.051389,-3214.448812
5918.276849,2050.876021,-3292.177879
5917.660055,2102.960178,-3369.22168
5918.382351,2155.244755,-3446.127289
5920.039292,2208.180686,-3523.786667
5921.717163,2259.424649,-3600.175262
5922.852905,2311.889068,-3679.365292
5923.069675,2362.271292,-3756.342741
5922.83999,2413.467189,-3835.17751
5922.506456,2462.628572,-3911.754233
5922.191424,2513.433766,-3992.027015
5920.964507,2563.778026,-4072.578948
5918.454659,2612.903068,-4152.680865
5915.632996,2656.386447,-4224.494587
5913.507661,2686.368558,-4274.098578
