TVD,Northing,Easting
0,0,0
142.9997379,0.111605212,-0.209193676
237.9989312,0.320149754,-0.537429253
357.9983978,0.512647886,-0.798184794
547.9983727,0.468327842,-0.853114616
737.9976109,0.564261945,-1.303207887
926.9965907,0.753824406,-1.861626186
1116.99509,0.650964535,-2.561860127
1305.99117,0.529119595,-3.770446897
1495.984605,0.350786652,-5.329301836
1685.975517,0.692755737,-7.112009359
1875.96799,1.917680903,-8.212050763
2064.965446,2.664298784,-8.717874475
2254.963511,2.919854864,-9.517964389
2444.962222,3.021898653,-9.419260873
2633.957286,3.378465758,-8.144385764
2823.950872,3.867153318,-6.686961391
3013.948362,4.132438413,-5.871511894
3202.947059,4.818708301,-5.781028295
3392.944699,5.731529422,-5.954421825
3581.939157,6.909223064,-6.763157509
3771.935598,6.890747686,-7.547329542
3961.932578,5.938350051,-7.93821577
4150.930999,5.89224048,-8.645690035
4340.923906,7.122389884,-8.223203278
4529.892482,9.74711013,-6.017187071
4719.867932,11.88091749,-3.929598649
4909.860382,12.4093381,-2.355395294
5099.854781,12.33162523,-0.898799815
5242.849597,11.93038596,0.235373875
5330.844409,11.57212886,1.115971162
5393.838883,11.43986388,1.937434692
5488.829001,11.49223279,3.303744187
5583.821761,11.74078125,4.442495153
5678.818079,12.23846859,5.084571051
5772.814825,12.99773597,5.148062386
5867.808961,13.91189934,4.645270067
5962.799602,14.90885979,3.762330161
5993.796862,15.20070527,3.472687418
6025.792038,15.1749758,3.850851828
6057.714258,14.3749847,5.836163185
6088.421471,12.61520324,9.653012178
6119.811929,9.83887377,15.19708018
6150.906812,6.325195262,21.87784794
6180.761697,2.302964201,29.18755302
6211.232467,-2.621033434,37.62001516
6241.186011,-8.523598816,47.19602751
6269.577929,-15.25250364,57.65461388
6298.16651,-23.19892542,69.62616249
6325.037598,-31.76381751,82.4827505
6351.744193,-41.28001235,97.3102045
6377.420217,-51.54424754,113.4088013
6401.329711,-62.44821348,129.8471917
6424.93922,-74.74073524,147.6023158
6446.643631,-87.7086103,165.532014
6467.997011,-102.0532039,184.5623876
6488.431757,-117.0976207,204.0542074
6507.218288,-132.1457731,223.5858552
6525.269091,-148.0719412,244.6614634
6541.755813,-164.2756204,266.7830705
6556.247912,-180.1494873,289.1155534
6569.747837,-196.6918774,312.9464861
6581.592709,-212.9481423,336.5324362
6591.897816,-228.4419196,358.7748778
6616.90379,-275.77523,428.5334958
6622.511929,-292.2372642,454.1851713
6626.642046,-308.5831519,481.3804477
6630.503219,-324.1190687,509.0873807
6634.544234,-338.6170636,536.1880859
6639.119659,-352.9411157,564.4335301
6644.001531,-366.5984392,592.9574852
6648.96905,-379.6471839,621.7499437
6653.878587,-392.0301099,650.8449093
6658.578627,-403.3470312,679.3191777
6663.383333,-414.273501,709.0087802
6667.936762,-424.3518307,739.0353294
6672.133046,-433.7218956,769.3431393
6675.919283,-442.5677451,799.8613641
6679.292111,-450.7550874,830.6108868
6682.064069,-457.9937018,860.6248676
6684.301868,-464.8671352,891.7969674
6686.202641,-470.95915,923.1525854
6687.988948,-476.3368562,954.6466651
6689.673511,-481.205816,985.2153763
6691.448677,-485.8318659,1016.829144
6695.113657,-494.187983,1079.164595
6698.915399,-501.0372969,1142.67862
6702.537167,-508.6991965,1237.292561
6703.444316,-512.6544475,1300.160021
6704.969038,-518.6311734,1395.959072
6706.312351,-528.2625108,1490.447463
6708.90893,-540.3725437,1585.639134
6713.649081,-551.4835814,1679.867049
6716.39252,-562.1995301,1774.211044
6716.828162,-572.4922899,1869.655617
6717.57432,-580.7303383,1964.292201
6717.289466,-589.455311,2059.886952
6717.032472,-600.2174194,2154.271348
6718.201474,-610.0392974,2248.751034
6718.856421,-619.3257741,2343.291512
6719.569468,-627.7039209,2437.911709
6719.461672,-636.7829754,2532.461219
6719.751823,-649.370834,2626.615232
6721.687002,-661.9150392,2721.770069
6723.229011,-672.0414796,2816.213762
6723.966885,-679.6514853,2910.901548
6724.190762,-688.0874078,3005.517564
6724.190762,-697.4466855,3101.056711
