TVD,Northing,Easting
5855.34,1.69,-39.14
5884.338619,1.433764547,-39.10132643
5915.326869,1.130887206,-39.77273099
5946.264126,1.033551695,-41.71595836
5978.063356,2.613471286,-44.7686037
6009.357335,7.349153057,-49.36089793
6038.741624,14.78367095,-55.78288685
6066.805743,25.13997106,-63.84653553
6093.131781,38.46753227,-73.28842626
6118.072947,55.12236035,-84.39046789
6139.746298,73.69763792,-96.43745975
6159.144596,94.96107957,-110.3710939
6175.368256,118.0754158,-125.3862428
6189.122292,141.578102,-140.1967889
6202.036478,165.4650338,-155.1494649
6214.304539,190.5556692,-170.7624848
6224.450879,214.6585393,-185.4562051
6233.856855,240.9251395,-201.1223982
6242.046869,267.559492,-216.8520633
6248.811494,293.5419378,-232.3443657
6254.0643,318.8145724,-247.626287
6258.606233,345.0362618,-263.5254358
6262.633364,372.2050167,-279.9437874
6265.39696,398.6735164,-295.8380473
6266.940828,424.3882875,-311.2097593
6267.608958,451.0435069,-327.0206994
6267.571085,477.8328573,-342.6187353
6268.423241,557.6716898,-390.2875206
6272.119724,638.3488697,-440.3094119
6277.440794,716.8411808,-489.9011021
6280.573498,792.9611634,-537.7890727
6281.32827,871.7357148,-587.213812
6279.884762,951.1228371,-637.5071349
6275.677844,1030.055372,-688.3755551
6272.77455,1108.358929,-740.2921602
6271.12484,1187.072549,-793.4551213
6268.844968,1262.718021,-845.7661326
6266.974782,1340.210339,-898.9353841
6265.752535,1417.703154,-952.1250179
6264.517274,1495.021779,-1007.306444
6263.45701,1567.647732,-1060.45087
6262.037765,1644.431664,-1114.646148
6259.854781,1720.942374,-1167.466626
6258.041714,1799.068283,-1219.68786
6257.098354,1877.974122,-1270.763629
6255.012536,1958.122226,-1323.56143
6253.765782,2036.71714,-1375.100289
6254.003673,2115.038027,-1427.077477
6254.028283,2192.336143,-1480.561321
6253.125765,2270.356645,-1532.959581
6250.204298,2349.771374,-1581.2547
6247.251698,2431.270197,-1627.995374
6246.232019,2514.195661,-1674.33131
6246.043347,2596.217827,-1720.247126
6245.858686,2675.846604,-1766.322797
6245.411009,2757.404003,-1815.03727
6244.211918,2835.21442,-1862.207334
6241.791429,2916.304941,-1911.637228
6240.174958,2997.260269,-1961.314846
6239.821701,3075.283929,-2010.059968
6239.108721,3155.111913,-2061.554895
6238.420612,3233.978343,-2114.510997
6237.458864,3318.91033,-2172.77407
6236.774365,3362.590613,-2202.783474
