TVD,Northing,Easting
5549.06,27.68,-81.24
5644.869016,27.97547543,-83.44167468
5676.853904,28.54598404,-84.237291
5707.823119,28.07395112,-85.40921816
5738.665878,26.38149839,-87.94651703
5770.230765,24.39134097,-92.77249691
5800.45393,22.50687997,-99.3859322
5830.240887,20.42294509,-107.7009628
5859.534887,17.97173572,-117.5325003
5888.319535,15.16116408,-128.6851803
5915.670795,12.5171299,-140.7160786
5944.233217,10.18381672,-154.9468235
5971.136946,8.418249563,-170.2363045
5996.425903,7.043404766,-186.3129252
6022.61418,5.837942918,-204.6568409
6046.960177,4.81742242,-223.8121794
6070.23907,4.035968698,-244.2641203
6092.476127,3.724927503,-265.8553293
6113.654215,3.78172547,-288.4899638
6133.793526,4.08325116,-312.0513857
6153.519857,4.53707965,-337.2413485
6171.59944,5.142691421,-362.4128467
6188.536215,5.883790094,-388.3634019
6203.790461,6.645548785,-414.1816858
6217.843237,7.513751201,-440.6692392
6231.590999,8.514230999,-469.5460179
6243.843301,9.508266435,-496.9118024
6256.495405,10.65189253,-526.2815177
6268.225195,11.76848755,-556.0307434
6278.24254,12.91307865,-585.3417366
6287.150793,14.17042768,-616.0484688
6294.376306,15.37214641,-646.1672774
6300.370834,16.43580689,-676.562221
6305.492263,17.320245,-708.1354656
6309.203123,18.18003598,-739.9042968
6311.484207,19.18898397,-770.8022819
6312.436204,20.48093368,-802.7579564
6311.55745,25.31995691,-897.6276614
6309.19492,31.47330887,-992.3976889
6308.071183,38.25872409,-1086.141273
6309.203167,45.17526793,-1179.878811
6311.021254,50.16276968,-1272.720312
6311.243597,53.19560406,-1363.664858
6310.212911,55.98681108,-1456.616759
6310.269111,57.85729937,-1548.596306
6311.997665,58.64447537,-1641.574698
6312.645659,58.21786928,-1735.563254
6311.292196,56.78254111,-1829.542302
6308.972235,55.44216431,-1921.500945
6306.011436,54.40090305,-2015.448099
6302.84079,53.88722477,-2107.390327
6298.743622,54.38988389,-2200.298343
6294.634391,55.32024736,-2292.201804
6291.302346,55.59343214,-2387.14084
6287.125588,58.04124311,-2477.990965
6281.368219,60.18489325,-2571.769694
6275.550008,58.86970022,-2673.595127
