TVD,Northing,Easting
1559.93,3.51,-8.55
1623.925996,3.184211262,-9.182118873
1718.921952,2.9535106,-10.0265765
1813.91789,2.820562332,-10.89489052
1908.916638,2.619965281,-11.17227997
2004.91527,2.256613026,-10.81355397
2099.914518,1.968798917,-10.60958577
2194.91072,1.923337837,-9.873053818
2290.902573,1.794752609,-8.64153014
2385.895543,1.207094649,-7.659246538
2480.889974,0.475121118,-6.95967516
2575.88253,-0.328422668,-6.125430642
2670.868928,-1.288247856,-4.836318249
2765.856671,-2.297107379,-3.697731617
2860.845518,-3.47302466,-2.842593521
2956.831015,-4.25095359,-1.440396252
3050.813697,-4.643665533,0.314072754
3146.802363,-5.178740616,1.685012359
3241.79342,-5.586598806,2.919707157
3336.787041,-5.769867399,3.997800235
3431.784243,-5.945133409,4.697506666
3526.783678,-6.137425779,4.830028616
3622.782638,-6.434954991,4.51019813
3717.779973,-7.096913165,4.300556051
3812.777028,-7.764686877,4.560140144
3908.774881,-8.279436561,4.922700395
4003.770758,-9.136260499,5.064000942
4098.76439,-9.695331535,5.859731686
4193.753189,-9.627509062,7.316819376
4289.744053,-9.617708644,8.637232143
4384.737743,-9.695676716,9.728747354
4479.73144,-9.822842193,10.81468775
4574.725968,-10.06594972,11.7997903
4670.722529,-10.30170227,12.57554179
4765.719126,-10.41991317,13.3691377
4860.715183,-10.67368189,14.18969238
4956.709695,-11.31532663,14.98192176
5051.699592,-12.41911361,15.8051334
5147.690427,-13.62376671,16.31298615
5242.684489,-14.65427611,16.14173281
5337.676589,-15.64537361,15.43209215
5432.67063,-15.96548626,14.48200465
5496.666382,-15.72718551,13.78484403
5586.664696,-15.6575877,13.51546222
5618.661344,-15.82344619,13.9237891
5650.59144,-16.99668129,15.5072612
5681.176826,-20.31857905,19.1720063
5714.726241,-24.14588447,22.97378018
5746.525276,-26.83364965,25.33127054
5778.148547,-30.46723351,28.56547045
5808.606968,-34.81957838,32.35140879
5871.524462,-43.74525436,39.94356004
5963.236806,-55.42185493,50.00408694
6058.247962,-65.63669074,59.16911856
6120.779089,-71.16690728,64.47713435
6152.515483,-73.98071565,67.44497226
6184.026088,-77.69405892,71.56273081
6214.130444,-82.57005081,77.09164977
6244.652581,-88.75092939,84.43217243
6274.60859,-95.75774149,93.22592853
6304.104137,-103.2505114,103.1148668
6332.090376,-111.031109,113.9271814
6360.176503,-119.8088157,126.4940868
6387.780986,-128.9992175,139.8174441
6415.108704,-138.3890062,153.5649444
6441.816192,-148.3097045,168.1271368
6466.70649,-158.6596547,183.4267544
6491.308474,-170.1383848,200.3603489
6514.827987,-182.6785375,218.0610919
6537.654145,-196.1040786,236.0247604
6559.018288,-209.905385,253.7401669
6579.870916,-224.9607489,272.7749071
6599.660952,-240.6008851,292.462457
