TVD,Northing,Easting
0.00,0.00,0.00
200.00,-0.59,0.66
399.99,-2.16,2.07
599.96,-4.57,3.75
799.94,-6.99,5.60
999.93,-8.07,7.34
1199.92,-8.02,8.78
1399.92,-7.71,9.66
1599.92,-7.56,9.88
1799.92,-7.68,9.64
1999.92,-8.15,9.14
2199.92,-9.09,8.30
2399.90,-10.32,6.46
2599.88,-12.62,4.51
2799.85,-15.57,2.86
2999.83,-17.61,0.86
3199.81,-18.78,-1.31
3399.80,-19.26,-3.92
3599.78,-18.97,-6.76
3799.76,-18.61,-9.63
3999.74,-18.68,-12.19
4199.73,-18.42,-14.40
4399.72,-16.96,-15.31
4599.69,-13.82,-14.67
4799.65,-9.83,-14.34
4999.61,-6.34,-16.07
5199.54,-2.72,-19.90
5399.45,-1.11,-25.52
5514.38,-2.40,-29.29
5548.36,-3.06,-30.38
5579.33,-3.68,-31.40
5619.29,-5.16,-30.99
5651.05,-7.31,-27.86
5680.90,-8.65,-25.55
5711.87,-7.95,-26.55
5741.55,-5.29,-29.90
5771.57,-0.11,-35.54
5801.47,7.97,-43.52
5829.03,18.53,-52.95
5854.92,31.84,-63.55
5879.68,48.19,-75.50
5900.76,65.63,-87.77
5920.53,86.35,-102.00
5936.87,108.10,-116.83
5951.52,131.63,-132.81
5966.03,155.29,-148.74
5980.84,177.87,-163.97
5995.58,200.44,-179.27
6009.01,223.51,-195.02
6020.12,247.27,-211.52
6029.43,271.38,-228.64
6037.72,296.52,-246.61
6044.42,321.29,-264.00
6049.85,346.37,-281.39
6053.94,371.58,-298.96
6056.58,396.80,-316.78
6058.05,422.86,-335.30
6058.53,447.32,-352.66
6058.47,472.56,-370.65
6056.88,548.68,-424.06
6054.63,624.85,-477.36
6049.32,700.77,-530.78
6039.20,776.73,-585.21
6027.89,851.14,-639.83
6015.49,923.98,-692.95
6001.77,999.08,-747.79
5989.84,1071.64,-801.40
5977.78,1144.98,-855.60
5965.05,1218.31,-909.69
5951.20,1293.41,-964.49
5936.62,1370.95,-1017.40
5927.57,1423.33,-1051.20
5919.73,1469.98,-1081.18
