TVD,Northing,Easting
1512.98,3.16,0.3
1602.973606,2.354040822,-0.393874507
1697.963523,1.30094315,-1.281563875
1792.960435,1.163234071,-1.558095805
1982.947474,3.167404168,-0.667556473
2172.927794,5.714299272,-1.32173662
2362.893363,7.473242653,-4.382641755
2552.875523,8.563429205,-6.389872771
2742.873673,9.341241822,-6.495533967
2933.870964,9.428470091,-7.441065232
3123.865421,8.815480621,-8.723847393
3314.853038,7.904557042,-10.63394091
3504.829095,6.949556878,-13.49191865
3695.821413,7.036324957,-14.60815905
3886.815971,8.400112389,-14.6638779
4076.805817,10.28419842,-15.0549412
4266.785614,13.03601026,-15.24585913
4456.774684,12.6998748,-15.26004139
4646.764654,11.40188221,-15.05923315
4836.761352,12.4820333,-14.81526038
5026.757303,13.68753376,-14.66269271
5215.755485,14.37568531,-14.60379688
5363.754227,13.99664183,-14.90355851
5483.752852,13.59338863,-15.24441586
5514.728604,14.22205906,-16.0876351
5546.422354,16.92609047,-19.37119672
5573.78789,20.72644743,-23.91245392
5604.095585,24.8162853,-28.97416133
5635.489412,28.59421966,-33.88887551
5666.903013,32.29128835,-38.73788889
5698.270644,36.2288675,-43.68989695
5728.357222,41.12784768,-49.29725558
5760.010557,47.62675229,-55.98755707
5790.764687,54.01107349,-62.0956901
5850.783924,65.22333587,-72.86038017
5943.344249,80.24424898,-88.0562394
6036.585015,92.40469163,-101.56166
6129.078959,102.6378375,-114.8275738
6160.319382,106.5878444,-120.4849846
6191.02124,111.4721921,-128.0452951
6220.158382,116.9636829,-137.0773535
6249.693564,123.1756253,-147.7065234
6277.818356,129.8568814,-158.8945357
6305.43752,137.6607862,-170.6058795
6333.396531,146.8168098,-183.1872559
6359.835094,156.4765987,-196.1703713
6386.448241,167.0117653,-210.4750246
6412.18317,178.2118468,-225.8371978
6436.307898,189.6091591,-241.6179649
6460.38253,201.9673862,-258.6900826
6483.30349,215.2468355,-276.6350614
6504.074625,229.3051729,-294.8410869
6523.483214,244.3918667,-313.7237121
6542.372315,260.830174,-333.6424354
6560.135651,277.9170487,-354.0477533
6576.12067,294.9454361,-374.4257477
6591.243613,313.1695289,-395.9435229
6605.619327,331.8011694,-417.6273851
6619.733159,350.2928624,-439.6000284
6632.36698,368.1728106,-461.5398852
6643.361851,386.9119023,-485.0234997
6651.944087,405.155991,-508.5633915
6659.123178,423.8681065,-533.5061346
6665.146563,442.5615589,-558.7683692
6670.113698,461.6406223,-583.9714427
6673.969398,480.4884642,-608.2783576
6677.486473,499.9562569,-633.4304465
6680.617397,519.2919316,-658.7342732
6682.609637,538.0027541,-683.3671144
6683.03403,557.3744531,-708.8283104
6682.411855,576.0310949,-733.5774908
6681.515468,634.1268591,-809.9908954
6681.681279,693.2060197,-884.3834224
6681.366224,754.1664823,-957.2396292
6680.512333,816.4704307,-1028.950052
6680.848643,878.0185644,-1099.99059
6683.840898,939.7410704,-1172.14346
6686.178427,1001.04386,-1244.672958
6685.809295,1061.777509,-1316.414474
6685.07147,1123.674122,-1388.477613
6685.967855,1185.902303,-1461.569541
6688.844154,1246.434547,-1534.727067
6691.708827,1306.61213,-1609.466272
6692.22288,1364.253642,-1684.967644
6691.29595,1419.959539,-1760.677344
6689.787167,1476.066355,-1837.323504
6687.474355,1532.410176,-1913.77449
6685.748701,1590.073497,-1990.505033
6684.67094,1648.097687,-2065.71521
6683.394265,1706.697542,-2140.477265
6681.321885,1765.22894,-2215.272989
6678.536708,1823.514641,-2290.238791
6676.580316,1880.87924,-2365.937349
6675.485962,1936.807304,-2442.718371
6674.317042,1992.299418,-2519.816031
6673.090098,2048.802402,-2596.175383
6672.717035,2105.582685,-2672.338113
6671.888007,2162.830624,-2748.143518
6671.199921,2221.256425,-2823.046229
6670.8636,2279.559746,-2896.778391
6669.83166,2313.013972,-2939.153986
6668.876441,2338.32238,-2971.396225
6665.146894,2397.436508,-3045.660708
6659.537615,2457.201207,-3119.29301
6656.645096,2517.592162,-3192.552156
6658.178801,2577.299802,-3266.415931
6661.869208,2635.010749,-3340.522176
6666.336055,2692.936518,-3415.685967
6669.624706,2750.272564,-3490.097756
6669.326274,2809.248789,-3564.560725
6668.853765,2869.080213,-3638.340973
6671.373691,2929.190719,-3711.860252
6673.520634,2989.485689,-3785.238428
6673.785924,3050.17413,-3858.325017
6674.424263,3111.064844,-3931.239938
6675.551742,3171.16659,-4004.800878
6675.945494,3230.730011,-4080.086095
6675.481241,3289.157954,-4154.991642
6675.103902,3346.640319,-4229.365153
6674.127786,3403.878547,-4303.919074
6672.088513,3461.473442,-4379.441155
6669.931298,3518.355819,-4454.245325
6668.347945,3576.303948,-4529.506017
6668.165559,3634.562542,-4604.544912
6667.328237,3693.677279,-4678.902427
6665.778017,3753.325571,-4752.825395
6665.458096,3812.715503,-4825.683545
6664.611975,3874.654673,-4899.017769
6664.226615,3936.45922,-4972.465179
6665.801537,3996.501013,-5044.773046
6666.456461,4057.987131,-5117.185198
6665.291496,4117.737297,-5189.732111
6664.799333,4175.935587,-5263.543041
6665.419271,4235.577478,-5338.765397
6665.319786,4295.123831,-5412.786435
6665.253464,4355.134226,-5486.432032
6665.421016,4416.048767,-5560.630204
6666.46276,4475.670415,-5633.292285
6667.561935,4535.595327,-5705.70321
6667.609059,4570.276957,-5747.093817
