TVD,Northing,Easting
0,0,0
5702.74,0,0
5799.09,-11.5,0.38
5892.44,-46.62,1.53
5974.52,-103.27,3.39
6040.45,-178.1,5.85
6086.29,-266.64,8.76
6109.33,-363.64,11.95
6111.84,-411.78,13.53
6111.47,-463.49,15.23
6110.76,-563.44,18.51
6110.06,-663.38,21.8
6109.35,-763.32,25.08
6108.64,-863.27,28.37
6107.94,-963.21,31.65
6107.23,-1063.15,34.93
6106.52,-1163.1,38.22
6105.82,-1263.04,41.5
6105.11,-1362.99,44.79
6104.4,-1462.93,48.07
6103.7,-1562.87,51.35
6102.99,-1662.82,54.64
6102.28,-1762.76,57.92
6101.58,-1862.7,61.21
6100.87,-1962.65,64.49
6100.16,-2062.59,67.77
6099.46,-2162.53,71.06
6098.75,-2262.48,74.34
6098.04,-2362.42,77.62
6097.33,-2462.36,80.91
6096.63,-2562.31,84.19
6095.92,-2662.25,87.48
6095.21,-2762.2,90.76
6094.51,-2862.14,94.04
6093.8,-2962.08,97.33
6093.09,-3062.03,100.61
6092.39,-3161.97,103.9
6091.68,-3261.91,107.18
6090.97,-3361.86,110.46
6090.27,-3461.8,113.75
6089.56,-3561.74,117.03
6088.85,-3661.69,120.32
6088.15,-3761.63,123.6
6087.44,-3861.57,126.88
6087.35,-3874.68,127.31
6086.73,-3961.55,127.54
6086.01,-4061.33,121.28
6085.29,-4160.44,108.09
6084.58,-4258.38,88.02
6083.86,-4354.69,61.18
6083.49,-4404.77,44.3
6083.15,-4449.16,28.43
6082.45,-4543.31,-5.25
6081.74,-4637.47,-38.93
6081.03,-4731.62,-72.61
6080.33,-4825.78,-106.29
6079.62,-4919.93,-139.97
6078.91,-5014.09,-173.65
6078.2,-5108.24,-207.33
6077.5,-5202.4,-241.01
6076.79,-5296.56,-274.69
6076.08,-5390.71,-308.36
6075.38,-5484.87,-342.04
6074.67,-5579.02,-375.72
6073.96,-5673.18,-409.4
6073.26,-5767.33,-443.08
6072.55,-5861.49,-476.76
6071.84,-5955.64,-510.44
6071.14,-6049.8,-544.12
6070.43,-6143.95,-577.8
6069.72,-6238.11,-611.48
6069.02,-6332.26,-645.16
6068.31,-6426.42,-678.84
6067.6,-6520.57,-712.51
6066.9,-6614.73,-746.19
6066.19,-6708.88,-779.87
6065.48,-6803.04,-813.55
6065.03,-6863,-835
6064.77,-6897.35,-846.8
6064.06,-6993.34,-874.75
6063.35,-7091.04,-895.94
6062.63,-7189.99,-910.27
6061.92,-7289.69,-917.68
6061.29,-7378,-918.43
6061.21,-7389.67,-918.17
6060.51,-7489.64,-915.94
6059.8,-7589.61,-913.7
6059.1,-7689.58,-911.47
6058.4,-7789.56,-909.24
6057.69,-7889.53,-907.01
6056.99,-7989.5,-904.78
6056.29,-8089.48,-902.54
6055.58,-8189.45,-900.31
6054.88,-8289.42,-898.08
6054.18,-8389.39,-895.85
6053.48,-8489.37,-893.62
6052.77,-8589.34,-891.39
6052.07,-8689.31,-889.15
6051.37,-8789.28,-886.92
6050.66,-8889.26,-884.69
6049.96,-8989.23,-882.46
6049.26,-9089.2,-880.23
6048.56,-9189,-878
