TVD,Northing,Easting
5341.16,33.23,-24.4
5394.157866,33.42060656,-24.72930414
5426.147805,33.05958618,-25.36127929
5457.129406,32.65064073,-26.30054985
5489.096831,32.75793315,-27.73138636
5520.038364,32.92555907,-29.62176402
5551.982363,33.29319619,-31.46441655
5582.941269,33.85530337,-32.95710565
5615.837965,35.0257366,-35.24050056
5647.498108,37.38955955,-39.17178055
5677.733969,41.11045009,-44.87475901
5708.471594,46.25435757,-52.12282658
5738.897208,52.07483188,-60.14603156
5768.965373,58.51140724,-68.99299072
5798.429073,65.7821622,-79.13047016
5827.052254,73.92576014,-90.8762693
5854.643847,83.22441154,-104.1382098
5881.159751,93.77542371,-118.6035459
5906.516159,105.61182,-134.1150461
5930.713847,118.6656389,-150.4802145
5953.6806,132.7729668,-167.7194246
5974.62715,147.253931,-185.3912071
5995.070525,162.8401361,-204.443472
6013.854789,178.4238958,-223.5524736
6032.028368,195.0397257,-243.9830225
6048.85398,212.0363205,-265.2383598
6064.69238,228.8477943,-287.3834933
6079.51636,245.6469309,-310.2271299
6092.784975,263.1488734,-333.4930159
6104.394764,281.4615206,-357.0217594
6114.324411,300.2579308,-380.9343008
6122.400112,319.3392727,-405.3135663
6128.436656,338.2682354,-429.1040405
6133.055635,358.1592714,-453.7378519
6136.069514,378.1080538,-478.5715082
6137.585255,398.3714083,-503.2883154
6137.797485,419.2992907,-527.4906682
6137.521021,482.3855003,-599.8460298
6136.849537,543.8390818,-672.283927
6134.411907,606.076441,-745.3350959
6133.222241,669.9778525,-816.9552322
6133.741649,735.2277895,-887.3694361
6135.051475,800.1320023,-956.7276388
6136.576151,865.5090165,-1027.007919
6138.335343,930.6991195,-1097.456213
6139.280388,995.6105263,-1166.809896
6137.705416,1060.362676,-1237.66009
6135.268329,1123.35281,-1308.732428
6132.996959,1185.672555,-1380.397819
6131.784705,1245.841386,-1449.981133
6131.617152,1309.283018,-1522.030214
6131.256918,1373.038218,-1593.80157
6131.787489,1435.692012,-1665.206754
6133.186498,1498.343765,-1737.930543
6134.552015,1561.236334,-1810.446185
6136.641,1623.740207,-1881.956987
6137.596032,1685.798401,-1955.18563
6136.791793,1747.014749,-2029.130914
6136.448315,1808.426557,-2102.916868
6137.534307,1869.353668,-2175.796519
6138.665256,1931.484613,-2248.968046
6137.375203,1994.261548,-2321.580515
6134.955523,2055.276063,-2393.044706
6132.83609,2117.759447,-2465.89385
6130.632924,2181.628927,-2537.529041
6129.446796,2242.498561,-2610.419584
6129.072527,2282.68772,-2660.217728
6128.588556,2313.085228,-2696.061239
