TVD,Northing,Easting
0,0,0
147.9954286,-0.209447833,-0.985374621
242.9863981,-0.475883295,-2.267804526
432.966696,-1.018913693,-4.949076531
607.9488726,-1.732930049,-7.33793216
797.9322001,-2.83464902,-9.598130565
988.9226764,-3.852931746,-11.17772661
1178.920876,-4.296589941,-11.7937085
1368.919933,-4.070887843,-12.28957068
1558.91593,-3.521122606,-13.38116383
1749.906912,-3.495779626,-15.19251931
1939.899729,-4.504404947,-16.29313218
2130.89448,-5.91542294,-16.19372663
2320.891944,-6.834156131,-16.36245077
2510.891039,-7.048606373,-16.87832279
2701.889144,-6.859905045,-17.68953107
2891.887793,-6.414452491,-17.88480116
3082.885693,-5.600173577,-17.74264221
3272.876136,-4.905717796,-19.36511084
3462.863175,-4.520643697,-21.51546332
3653.85902,-4.242506603,-22.73292032
3844.85676,-4.402233432,-23.62871602
4034.836678,-6.597048899,-24.95223262
4225.804464,-9.942500365,-25.05304147
4415.779514,-12.47897916,-23.31329148
4605.773167,-13.31492674,-22.57397043
4796.766361,-11.90077975,-23.20011774
4986.740542,-9.061836776,-24.44357549
5122.717269,-6.676341164,-25.2039087
5317.684384,-3.440692911,-26.64136331
5412.676268,-2.905575206,-26.28219249
5507.660537,-3.347277731,-24.61549541
5603.653111,-3.410617782,-23.45086097
5698.649747,-3.034337371,-22.75457221
5793.647221,-2.472526015,-22.36061455
5888.643414,-1.640241512,-22.33161461
5983.639073,-0.751080513,-22.49243933
6079.636421,-0.086390956,-22.31525885
6174.632142,0.495975742,-21.63556362
6269.624562,1.354160647,-20.8123777
6364.614465,2.585163285,-20.18633771
6459.601149,4.014513027,-19.50180538
6555.593195,4.678601131,-18.59298613
6650.586784,4.932833124,-17.55684889
6745.575226,5.820457497,-16.37396801
6808.41819,5.734719884,-12.36264854
6840.033103,5.031634192,-7.514353095
6871.218472,3.790510999,-0.47546026
6901.99821,1.9786354,8.080364323
6931.459181,-0.449422182,17.40730646
6961.335659,-4.052279082,28.27321194
6990.499187,-8.866140377,40.5210463
7018.006507,-14.05334169,53.83279205
7045.793748,-19.41712422,68.76685436
7073.343175,-24.7924679,84.13351323
7100.884099,-30.23953735,99.4901402
7127.479817,-35.56069293,114.5015102
7154.341199,-41.11977565,130.9715828
7180.140386,-46.95732578,148.9723585
7204.831176,-53.26420556,168.3202047
7273.971707,-77.46548397,234.7454004
7292.976827,-86.43383562,257.5272775
7311.015337,-95.67198559,282.2850554
7327.281663,-104.171627,307.2652092
7342.411188,-112.3606479,333.049807
7356.668107,-120.8649793,360.4032809
7369.662559,-129.714929,388.2724351
7381.929116,-139.1563147,415.1274801
7393.869028,-149.2791304,441.8828314
7404.546382,-159.5373676,470.2425475
7407.754722,-162.650328,479.1867782
7494.627839,-241.1055107,704.6060452
7564.292207,-358.5862892,1061.596397
7570.924121,-471.5715305,1424.350243
7575.024116,-501.2812593,1519.737201
7594.448341,-590.6045238,1806.521185
7595.669483,-620.3262069,1901.946524
7581.198428,-679.6349323,2092.364918
7588.433955,-649.9805696,1997.155721
7552.27521,-917.6994816,2856.702188
