TVD,Northing,Easting
0,0,0
77.9991981,0.285978301,-0.109719521
177.9967729,0.866870562,-0.480145266
277.9956603,1.195992476,-0.803789238
377.9955154,1.32187389,-0.87392273
477.995366,1.462728429,-0.921936839
577.995249,1.558977741,-0.96585311
677.9951709,1.637161671,-0.987326892
777.9949414,1.758488555,-1.149692235
877.9948672,1.724953849,-1.20780485
977.9948072,1.685829217,-1.109420993
1077.994661,1.733872718,-0.952024762
1177.994052,1.990673221,-0.736756272
1277.993006,2.436103738,-0.672330666
1377.991721,2.869511402,-0.915754751
1477.989691,3.282316646,-1.399505934
1577.987135,3.68335999,-1.990799239
1677.984252,4.079692822,-2.638325173
1777.97987,4.505253868,-3.466892632
1877.969701,5.02043985,-4.78251942
1977.95088,5.722795517,-6.587422154
2077.930275,6.629454787,-8.400576044
2177.909432,7.606327112,-10.19153758
2294.890223,8.760539291,-11.94640241
2324.887671,9.030718343,-12.22774246
2419.883732,9.561342898,-12.89805673
2514.881701,9.826026881,-13.45905361
2610.879976,10.09140458,-13.96831058
2705.878558,10.32077114,-14.43117013
2799.877095,10.52378985,-14.91300501
2894.875272,10.80432335,-15.43037774
2990.873219,11.0807971,-15.99357891
3123.870027,10.55367187,-15.8799501
3180.862652,9.895109094,-15.25090632
3275.856044,9.266582181,-14.43572715
3371.83861,8.403484079,-13.02894958
3466.79962,7.133245093,-10.63216118
3562.768043,6.167580552,-8.367834574
3657.740161,5.343074248,-6.221854468
3752.716023,4.545221596,-4.238071062
3844.696022,3.743138089,-2.497334642
3938.676076,3.009769471,-0.705877043
4034.652964,2.041835339,1.162027097
4129.633647,1.232776634,2.887583144
4224.616803,0.972576171,4.651228798
4320.601272,0.843419682,6.368710524
4415.591195,0.747366494,7.745041321
4510.572246,-0.534033828,8.922067009
4605.529657,-3.035998386,10.26716463
4700.48941,-5.242752452,11.92825301
4795.469836,-6.470724232,13.33324893
4891.463846,-6.832819413,14.34020448
4986.459989,-7.051575312,15.165466
5081.457791,-7.039580159,15.80008986
5156.456052,-6.72380924,16.19059189
5241.44046,-5.236212311,16.55819899
5274.412171,-4.030081028,17.12810728
5306.258388,-2.587189353,19.74328348
5336.643495,-1.109015061,25.61663618
5367.085224,0.666310139,35.25961726
5396.159141,2.697593886,48.42567291
5422.595164,4.5530144,64.47350343
5447.737853,6.046603076,84.18146017
5468.45004,6.853728354,104.444835
5491.206038,7.409859852,132.3060505
5508.736571,8.023095832,159.0575653
5524.191521,8.73561877,185.9196514
5538.975566,9.370791574,214.2881214
5551.782808,9.775431414,242.5117084
5563.559251,10.10301282,272.261344
5573.799593,10.61194012,301.5148009
5583.262248,11.6996862,332.0615417
5591.246324,13.59315309,361.9523955
5598.122851,16.24179748,393.0892982
5603.404221,19.00989451,423.5076571
5607.555915,21.77500328,455.1146632
5610.060562,24.48924919,485.8888413
5614.013248,32.58458802,579.4548946
5617.556119,40.33849758,673.0673295
5619.811632,48.32419502,766.6956423
5620.640142,55.82166308,860.3916536
5622.297062,62.86030519,954.1123112
5625.380823,69.8963045,1047.796698
5627.636574,78.40496443,1141.37395
5627.545381,88.92023995,1235.78911
5627.315698,99.56939072,1329.183041
5629.931901,109.79004,1422.579668
5635.458382,119.7280236,1516.896
5643.869649,130.4128458,1610.907574
5652.280819,141.377221,1704.887521
5656.143058,152.4077279,1798.148883
5657.52114,164.6351275,1891.339186
5656.873131,176.8303807,1984.536242
5653.740126,189.0275919,2077.687087
5652.247939,200.3791034,2171.97939
5653.995074,209.5992024,2265.508322
5657.500201,218.2480471,2358.037251
5660.813461,227.0967382,2451.558537
5663.466004,236.2149927,2546.082253
5664.676279,245.706748,2640.592099
5663.798566,255.5238334,2734.073904
5664.964019,267.8836407,2859.451383
5667.149404,273.5962471,2921.148583
5671.707296,282.2376444,3015.644098
5674.964565,291.3043694,3110.147014
5676.121168,301.1048185,3203.627429
5677.687879,311.5568554,3297.030541
5680.94526,322.3951876,3391.351779
5681.871987,333.0171615,3484.724431
5678.482018,343.7562377,3579.053206
5675.970265,352.922691,3673.566798
5674.264143,360.8849359,3767.211439
5673.567798,368.5689503,3861.889411
5674.405108,375.7246917,3956.615312
5673.891117,382.9218678,4051.33945
5673.285935,389.705626,4146.093846
5673.75019,396.3985579,4240.856494
5674.349009,403.3318864,4334.59842
5674.581138,410.3556236,4429.337968
5674.26122,416.9699604,4523.104207
5673.61458,423.323733,4617.889224
5673.015761,429.4551314,4711.687126
5672.588505,435.5247565,4807.49398
5671.792648,441.365505,4902.310451
5669.947081,447.593952,4996.084903
5669.671147,455.5610606,5088.731088
5671.113602,465.2427417,5183.225129
5672.663416,475.9337927,5278.613768
5674.19721,488.972307,5372.696842
5675.903376,504.3058051,5465.420082
5677.560696,517.9115969,5558.402799
5678.897744,528.8123331,5651.758661
5680.763093,541.1025733,5745.938013
5682.155954,553.179788,5840.15134
5684.083688,565.1119312,5933.363964
5686.778174,576.5930302,6027.619981
5687.706645,585.4747252,6122.195667
5686.418804,593.2578822,6215.86209
5684.581377,601.3589828,6309.492551
5683.293411,612.0393451,6402.870056
5683.473877,623.6411764,6496.147711
5685.753484,634.1369827,6590.536738
5689.43569,644.0691628,6683.937439
5691.756585,654.0285889,6778.378637
5691.617133,664.0988875,6871.836878
5690.837821,675.5621021,6965.130067
5693.650598,689.6868017,7057.990312
5700.858374,702.7548056,7151.795589
5707.292716,712.0107147,7245.112892
5712.351617,719.815974,7338.650942
5716.812378,726.9703667,7432.271605
5720.716033,734.4837416,7526.893313
5724.349078,742.172028,7620.507852
5725.045379,750.8302011,7715.094073
5723.068582,760.7026252,7808.553056
5720.324908,771.1722591,7902.933082
5716.653202,781.4986382,7997.298626
5714.586256,790.6765408,8090.821021
5713.946424,799.1222758,8184.438589
5712.617572,807.1751467,8278.082814
5710.105912,815.16293,8372.712191
5706.145063,823.2339137,8466.280021
5700.668549,830.8170198,8559.812351
5695.880211,837.8800176,8653.420824
5692.24993,844.6094776,8748.112426
5689.813878,852.0475341,8841.780872
5688.562077,860.5743211,8936.389114
5686.536091,868.6751505,9030.016592
5683.60178,876.273896,9124.666479
5680.378613,883.3668026,9218.343016
5677.204626,890.0101002,9312.054017
5673.571597,896.0797987,9405.786716
5668.742162,901.9088578,9499.480787
